Id,Predicted
1,"[ 155  217  235  236  248  265  277  285  405  439  448  499  515  523
  574  624  654  768  772  775  799  890  937 1000 1052 1119 1170 1257
 1329 1433 1449 1477 1545 1553 1593 1652 1713 1758 1868 1869 1870 1881
 1967 1976 1995 2029 2101 2106 2110 2131 2148 2176 2180 2226 2308 2382
 2462 2502 2530 2584 2591 2702 2711 2716 2805 2823 2871 2884 2926 2932
 2962 3019 3113 3141 3194 3208 3237 3283 3311 3348 3362 3381 3406 3408
 3421 3426 3493 3501 3505 3510 3532 3643 3644 3653 3660 3757 3810 3833
 3852 3909 3911 3923 3925 3978 4006 4057 4095 4195 4211 4283 4291 4307
 4440 4442 4456 4520 4525 4543 4553 4555 4653 4725 4739 4827 4836 4883
 4946 4965 4967 4989 5000 5015 5020 5030 5165 5212 5284 5302 5305 5337
 5361 5365 5413 5447 5481 5484 5497 5520 5555 5560 5634 5798 5803 5826
 5843 5858 5868 5878 5892 5925 5926 5960 5987 5992 6038 6049 6107 6298
 6429 6452 6454 6588 6664 6690 6755 6759 6770 6771 6878 6942 6971 6991
 6993 7013 7024 7057 7285 7291 7300 7301 7307 7315 7336 7446 7449 7456
 7508 7518 7568 7727 7734 7736 7772 7778 7873 7887 7949 7962 7982 7989
 8069 8078 8084 8093 8101 8121 8134 8253 8305 8358 8367 8381 8382 8399
 8427 8468 8509 8519 8585 8637 8768 8840 8841 8917 8951 8985 9031 9058
 9071 9122 9132 9135 9170 9185 9248 9514 9522 9554 9556 9605 9747 9762
 9855 9878 9901 9974]"
2,"[ 155  217  235  236  248  265  277  285  405  439  448  499  515  523
  574  624  654  768  772  775  799  890  937 1000 1052 1119 1170 1257
 1329 1433 1449 1477 1545 1553 1593 1652 1713 1758 1868 1869 1870 1881
 1967 1976 1995 2029 2101 2106 2110 2131 2148 2176 2180 2226 2308 2382
 2462 2502 2530 2584 2591 2702 2711 2716 2805 2823 2871 2884 2926 2932
 2962 3019 3113 3141 3194 3208 3237 3283 3311 3348 3362 3381 3406 3408
 3421 3426 3493 3501 3505 3510 3532 3643 3644 3653 3660 3757 3810 3833
 3852 3909 3911 3923 3925 3978 4006 4057 4095 4195 4211 4283 4291 4307
 4440 4442 4456 4520 4525 4543 4553 4555 4653 4725 4739 4827 4836 4883
 4946 4965 4967 4989 5000 5015 5020 5030 5165 5212 5284 5302 5305 5337
 5361 5365 5413 5447 5481 5484 5497 5520 5555 5560 5634 5798 5803 5826
 5843 5858 5868 5878 5892 5925 5926 5960 5987 5992 6038 6049 6107 6298
 6429 6452 6454 6588 6664 6690 6755 6759 6770 6771 6878 6942 6971 6991
 6993 7013 7024 7057 7285 7291 7300 7301 7307 7315 7336 7446 7449 7456
 7508 7518 7568 7727 7734 7736 7772 7778 7873 7887 7949 7962 7982 7989
 8069 8078 8084 8093 8101 8121 8134 8253 8305 8358 8367 8381 8382 8399
 8427 8468 8509 8519 8585 8637 8768 8840 8841 8917 8951 8985 9031 9058
 9071 9122 9132 9135 9170 9185 9248 9514 9522 9554 9556 9605 9747 9762
 9855 9878 9901 9974]"
3,"[  24  101  118  155  217  235  236  242  248  265  277  285  354  405
  439  448  499  515  523  574  624  654  768  772  775  799  890  937
 1000 1052 1110 1119 1170 1257 1329 1433 1449 1477 1545 1553 1554 1593
 1619 1652 1677 1713 1741 1745 1747 1758 1826 1854 1868 1869 1870 1881
 1967 1976 1982 1995 2029 2101 2106 2110 2131 2148 2176 2180 2226 2308
 2382 2462 2502 2530 2584 2591 2702 2711 2716 2805 2823 2828 2871 2884
 2926 2932 2962 2973 3019 3113 3141 3194 3208 3237 3283 3311 3348 3349
 3362 3381 3384 3406 3408 3421 3426 3427 3493 3501 3505 3510 3513 3532
 3643 3644 3653 3660 3757 3810 3833 3852 3909 3911 3923 3925 3978 4006
 4039 4057 4095 4195 4211 4283 4291 4307 4341 4440 4442 4456 4520 4525
 4543 4553 4555 4653 4725 4739 4827 4836 4883 4885 4902 4940 4946 4965
 4967 4978 4989 5000 5015 5020 5030 5154 5165 5212 5213 5284 5302 5305
 5337 5361 5365 5395 5413 5447 5481 5484 5497 5520 5555 5560 5617 5634
 5653 5798 5803 5826 5843 5858 5868 5878 5892 5925 5926 5960 5987 5992
 6038 6049 6107 6162 6298 6429 6452 6454 6588 6664 6690 6755 6756 6759
 6770 6771 6878 6942 6971 6991 6993 7013 7024 7054 7057 7285 7291 7300
 7301 7307 7315 7336 7426 7446 7449 7456 7471 7508 7518 7568 7652 7727
 7734 7735 7736 7746 7772 7778 7873 7887 7949 7962 7982 7989 8069 8078
 8084 8093 8101 8121 8134 8147 8253 8283 8305 8343 8358 8367 8381 8382
 8399 8427 8468 8509 8519 8582 8585 8637 8768 8840 8841 8847 8917 8951
 8985 8999 9031 9058 9071 9122 9132 9135 9170 9185 9196 9248 9514 9522
 9554 9605 9611 9747 9760 9762 9844 9855 9878 9901 9974]"
4,"[ 155  217  235  236  248  265  277  285  405  439  448  499  515  523
  574  624  654  768  772  775  799  890  937 1000 1052 1119 1170 1257
 1329 1433 1449 1477 1545 1553 1593 1652 1713 1758 1868 1869 1870 1881
 1967 1976 1995 2029 2101 2106 2110 2131 2148 2176 2180 2226 2308 2382
 2462 2502 2530 2584 2591 2702 2711 2716 2805 2823 2871 2884 2926 2932
 2962 3019 3113 3141 3194 3208 3237 3283 3311 3348 3362 3381 3406 3408
 3421 3426 3493 3501 3505 3510 3532 3643 3644 3653 3660 3757 3810 3833
 3852 3909 3911 3923 3925 3978 4006 4057 4095 4195 4211 4283 4291 4307
 4440 4442 4456 4520 4525 4543 4553 4555 4653 4725 4739 4827 4836 4883
 4946 4965 4967 4989 5000 5015 5020 5030 5165 5212 5284 5302 5305 5337
 5361 5365 5413 5447 5481 5484 5497 5520 5555 5560 5634 5798 5803 5826
 5843 5858 5868 5878 5892 5925 5926 5960 5987 5992 6038 6049 6107 6298
 6429 6452 6454 6588 6664 6690 6755 6759 6770 6771 6878 6942 6971 6991
 6993 7013 7024 7057 7285 7291 7300 7301 7307 7315 7336 7446 7449 7456
 7508 7518 7568 7727 7734 7736 7772 7778 7873 7887 7949 7962 7982 7989
 8069 8078 8084 8093 8101 8121 8134 8253 8305 8358 8367 8381 8382 8399
 8427 8468 8509 8519 8585 8637 8768 8840 8841 8917 8951 8985 9031 9058
 9071 9122 9132 9135 9170 9185 9248 9514 9522 9554 9556 9605 9747 9762
 9855 9878 9901 9974]"
5,"[   10    11    24    95   101   124   135   136   150   155   217   236
   243   248   277   282   285   321   365   405   435   439   445   448
   473   488   494   499   523   570   574   624   654   657   663   684
   768   772   775   793   795   871   905  1000  1052  1068  1077  1081
  1110  1119  1131  1170  1192  1257  1308  1329  1344  1355  1384  1392
  1404  1429  1449  1463  1477  1495  1514  1545  1553  1554  1573  1593
  1602  1613  1619  1633  1652  1677  1682  1706  1725  1747  1758  1776
  1853  1868  1869  1870  1881  1884  1890  1967  1982  1995  2098  2100
  2101  2105  2106  2110  2131  2148  2176  2226  2228  2230  2248  2274
  2308  2311  2366  2375  2381  2382  2419  2446  2462  2501  2502  2530
  2554  2565  2584  2591  2627  2702  2711  2752  2779  2781  2790  2805
  2823  2828  2838  2871  2877  2884  2926  2932  2962  2973  3019  3078
  3113  3120  3136  3141  3194  3198  3208  3237  3283  3293  3311  3348
  3362  3381  3406  3408  3421  3426  3493  3501  3505  3510  3524  3532
  3566  3571  3579  3626  3643  3644  3653  3660  3662  3676  3701  3742
  3757  3810  3823  3833  3852  3909  3911  3923  3972  3978  4006  4057
  4067  4077  4095  4137  4155  4185  4211  4213  4218  4284  4291  4307
  4315  4341  4354  4355  4366  4388  4399  4425  4440  4442  4520  4525
  4543  4553  4555  4574  4576  4627  4640  4653  4678  4686  4697  4725
  4739  4742  4743  4756  4821  4827  4836  4883  4885  4946  4965  4967
  4989  5015  5020  5030  5061  5154  5164  5213  5271  5281  5284  5302
  5305  5360  5361  5365  5381  5395  5413  5447  5481  5497  5501  5519
  5520  5521  5527  5529  5544  5560  5617  5634  5670  5678  5679  5685
  5717  5776  5798  5800  5803  5804  5843  5858  5868  5878  5892  5896
  5926  5944  5949  5959  5960  5974  5986  5987  5992  6038  6049  6155
  6160  6203  6216  6261  6273  6298  6330  6380  6417  6429  6452  6454
  6468  6485  6501  6588  6601  6647  6664  6690  6702  6755  6756  6759
  6763  6765  6770  6779  6878  6906  6942  6971  6991  6993  6998  7013
  7017  7035  7057  7063  7076  7079  7101  7109  7127  7162  7164  7193
  7257  7285  7287  7300  7301  7307  7315  7328  7336  7349  7426  7446
  7449  7456  7463  7471  7508  7518  7519  7551  7568  7613  7652  7727
  7736  7746  7772  7778  7792  7873  7887  7896  7925  7962  7982  7989
  8015  8025  8059  8069  8078  8084  8093  8101  8121  8134  8147  8174
  8175  8267  8283  8305  8343  8367  8377  8382  8399  8445  8468  8509
  8582  8585  8587  8637  8670  8679  8682  8761  8768  8786  8840  8841
  8847  8917  8951  8965  8980  8985  9020  9031  9052  9058  9071  9083
  9135  9136  9168  9170  9185  9196  9228  9248  9276  9296  9394  9407
  9522  9556  9565  9570  9605  9664  9747  9761  9762  9776  9797  9806
  9823  9844  9855  9860  9868  9901  9974  9976 10002 10025]"
6,"[ 277  285  405  439  499  624  772  775 1000 1052 1119 1170 1355 1449
 1553 1677 1745 1826 1870 1881 1967 1995 2110 2131 2226 2382 2502 2584
 2591 2702 2805 2884 2962 3113 3194 3237 3311 3348 3362 3381 3408 3421
 3493 3501 3532 3643 3660 3702 3757 3810 3852 3978 4095 4291 4307 4442
 4525 4574 4653 4739 4883 4946 4965 4967 4989 5271 5284 5302 5484 5520
 5560 5679 5798 5843 5858 5878 5892 5926 5960 6038 6049 6298 6588 6664
 6690 6759 6770 6878 6991 7054 7300 7307 7456 7568 7727 7736 7778 7949
 8134 8147 8283 8367 8399 8468 8509 8519 8585 8637 8840 8841 8917 8951
 9031 9058 9170 9185 9248 9296 9522 9747 9762 9844]"
7,"[   10    11    24    95   101   119   135   136   155   179   217   235
   236   242   243   248   265   270   277   282   285   321   365   405
   439   445   448   473   488   499   523   574   624   654   657   663
   684   768   772   775   792   793   795   826   871   890   905  1000
  1052  1077  1108  1110  1119  1170  1192  1246  1257  1301  1308  1329
  1355  1392  1404  1429  1433  1449  1463  1477  1495  1503  1514  1545
  1553  1554  1573  1593  1602  1613  1619  1652  1677  1706  1713  1747
  1758  1801  1827  1853  1868  1869  1870  1874  1877  1881  1884  1915
  1935  1967  1976  1995  2029  2065  2100  2101  2105  2106  2110  2131
  2148  2176  2177  2180  2226  2228  2248  2263  2273  2274  2308  2366
  2382  2383  2419  2462  2501  2502  2530  2554  2565  2584  2591  2627
  2702  2752  2779  2781  2790  2805  2823  2828  2871  2877  2926  2932
  2962  2973  3003  3019  3078  3113  3120  3141  3166  3194  3198  3208
  3237  3283  3293  3307  3311  3348  3362  3381  3384  3406  3408  3421
  3426  3493  3501  3505  3510  3524  3532  3558  3566  3570  3571  3582
  3626  3633  3643  3644  3653  3660  3662  3676  3693  3700  3702  3757
  3810  3833  3852  3909  3911  3923  3978  4006  4057  4059  4062  4067
  4077  4095  4137  4155  4185  4195  4211  4213  4218  4284  4291  4307
  4341  4354  4355  4366  4399  4425  4440  4442  4520  4525  4543  4553
  4555  4574  4576  4627  4640  4653  4678  4681  4686  4691  4697  4715
  4725  4739  4742  4750  4756  4821  4827  4836  4865  4883  4885  4938
  4946  4965  4967  4976  4978  4989  5015  5020  5030  5061  5164  5165
  5213  5263  5271  5284  5302  5337  5360  5361  5364  5365  5381  5395
  5413  5438  5447  5481  5497  5500  5518  5519  5520  5521  5529  5544
  5560  5617  5634  5670  5678  5679  5717  5776  5798  5803  5804  5826
  5843  5852  5858  5868  5878  5892  5896  5926  5944  5949  5959  5960
  5974  5986  5987  6027  6038  6049  6137  6160  6162  6237  6298  6330
  6380  6417  6429  6452  6454  6467  6468  6501  6567  6588  6601  6647
  6649  6664  6690  6702  6755  6756  6759  6763  6765  6770  6779  6825
  6878  6906  6942  6971  6991  6993  6998  7013  7017  7057  7076  7079
  7109  7127  7153  7162  7164  7257  7276  7285  7287  7291  7300  7301
  7307  7315  7327  7328  7336  7349  7426  7446  7449  7456  7463  7471
  7498  7508  7518  7519  7551  7568  7605  7613  7652  7675  7713  7727
  7735  7736  7739  7746  7772  7778  7792  7873  7887  7934  7962  7982
  7989  8015  8059  8066  8069  8078  8084  8093  8101  8121  8134  8147
  8253  8267  8283  8305  8343  8367  8377  8382  8399  8445  8468  8509
  8519  8543  8582  8585  8587  8637  8670  8682  8712  8741  8768  8786
  8840  8841  8893  8917  8951  8980  8985  8988  9031  9032  9043  9058
  9071  9083  9132  9133  9135  9136  9168  9170  9185  9196  9228  9248
  9276  9296  9372  9394  9474  9522  9547  9554  9556  9570  9576  9605
  9611  9720  9747  9760  9761  9762  9776  9797  9806  9823  9844  9855
  9860  9868  9878  9901  9970  9974 10002 10028]"
8,"[   11    24    95   101   135   155   179   217   236   242   248   265
   270   277   282   285   321   354   405   439   448   488   499   523
   574   624   654   768   772   775   793   795   890  1000  1052  1108
  1110  1119  1170  1192  1246  1257  1308  1329  1355  1404  1429  1449
  1477  1495  1545  1553  1554  1573  1593  1602  1613  1619  1652  1677
  1706  1713  1745  1747  1758  1868  1869  1870  1881  1967  1976  1995
  2029  2106  2110  2131  2148  2176  2226  2274  2308  2382  2419  2462
  2502  2530  2565  2584  2591  2627  2702  2711  2716  2752  2805  2828
  2871  2884  2926  2932  2962  2973  3019  3078  3113  3141  3194  3208
  3237  3283  3293  3307  3311  3348  3362  3381  3384  3406  3408  3421
  3426  3493  3501  3505  3510  3524  3532  3571  3633  3643  3644  3653
  3660  3676  3700  3702  3742  3757  3810  3833  3852  3874  3892  3909
  3911  3923  3978  4006  4057  4095  4137  4195  4211  4213  4284  4291
  4307  4341  4354  4366  4399  4425  4440  4442  4520  4525  4543  4553
  4555  4559  4574  4653  4678  4686  4691  4697  4715  4725  4739  4742
  4750  4821  4836  4883  4946  4965  4967  4989  5015  5020  5030  5061
  5165  5213  5271  5284  5302  5361  5364  5365  5381  5395  5447  5481
  5497  5520  5521  5529  5544  5555  5560  5603  5617  5634  5664  5679
  5776  5798  5803  5804  5843  5858  5868  5878  5892  5926  5959  5960
  5986  5987  5992  6027  6038  6049  6298  6330  6380  6452  6454  6588
  6601  6636  6647  6664  6690  6755  6756  6759  6763  6765  6770  6779
  6878  6942  6971  6991  6993  6998  7013  7017  7054  7057  7076  7109
  7257  7285  7300  7301  7307  7315  7327  7328  7336  7349  7426  7446
  7449  7456  7471  7508  7518  7519  7547  7568  7613  7652  7713  7717
  7727  7735  7736  7756  7772  7778  7792  7873  7887  7949  7962  7982
  7989  8015  8059  8069  8084  8101  8121  8134  8147  8253  8267  8283
  8305  8367  8382  8399  8445  8468  8509  8519  8582  8585  8637  8670
  8768  8840  8841  8847  8917  8951  8980  8985  9031  9043  9058  9071
  9083  9122  9135  9170  9185  9196  9248  9522  9556  9570  9605  9720
  9747  9761  9762  9806  9823  9844  9855  9878  9901  9974 10028]"
9,"[  24   95  101  118  119  135  155  179  217  236  242  248  265  277
  285  321  354  405  439  448  453  488  499  515  523  566  574  624
  654  657  663  772  775  795  826  890  905  937 1000 1052 1108 1110
 1119 1170 1246 1257 1308 1329 1380 1404 1429 1433 1449 1477 1486 1495
 1553 1554 1573 1593 1601 1613 1652 1677 1713 1725 1741 1747 1758 1801
 1826 1868 1869 1870 1881 1935 1967 1976 2029 2100 2105 2106 2110 2131
 2148 2176 2180 2226 2308 2382 2383 2419 2462 2502 2530 2584 2591 2702
 2716 2805 2823 2871 2884 2906 2926 2932 2962 3019 3113 3141 3166 3194
 3208 3237 3283 3311 3348 3362 3381 3384 3406 3408 3421 3427 3489 3493
 3501 3505 3510 3524 3532 3558 3570 3643 3653 3660 3662 3693 3700 3702
 3703 3757 3810 3833 3852 3853 3909 3911 3923 3978 4006 4057 4095 4137
 4185 4195 4211 4213 4250 4282 4283 4291 4341 4354 4366 4399 4440 4454
 4520 4525 4543 4553 4555 4559 4574 4591 4627 4653 4681 4686 4715 4725
 4750 4821 4827 4836 4883 4885 4902 4940 4946 4965 4967 4978 4989 5000
 5015 5020 5030 5061 5165 5204 5212 5213 5271 5284 5302 5305 5337 5361
 5365 5413 5447 5481 5484 5497 5500 5520 5521 5527 5544 5560 5617 5634
 5653 5664 5717 5798 5803 5806 5843 5858 5868 5878 5892 5925 5960 5987
 5992 6038 6049 6107 6160 6162 6229 6298 6429 6452 6485 6538 6588 6601
 6664 6690 6702 6731 6755 6756 6759 6765 6770 6772 6779 6942 6971 6991
 6993 6998 7013 7017 7047 7054 7057 7123 7162 7187 7243 7285 7291 7300
 7301 7307 7315 7336 7349 7446 7449 7456 7463 7471 7498 7508 7518 7525
 7547 7568 7605 7613 7727 7734 7735 7736 7739 7756 7764 7778 7792 7822
 7873 7887 7962 7982 8066 8069 8084 8093 8121 8130 8134 8147 8253 8267
 8283 8303 8305 8343 8367 8382 8399 8468 8509 8519 8529 8582 8585 8637
 8670 8682 8729 8741 8768 8840 8841 8917 8951 8985 8999 9031 9052 9058
 9071 9083 9122 9135 9136 9145 9168 9170 9185 9228 9248 9296 9372 9394
 9474 9514 9522 9554 9556 9576 9588 9605 9747 9761 9762 9776 9806 9844
 9855 9878 9901 9924 9970 9976]"
10,"[   24    95   101   118   155   217   236   248   255   265   277   285
   321   405   439   448   488   499   515   523   574   624   657   772
   775   799   826   890   937  1000  1052  1110  1119  1170  1246  1308
  1329  1355  1433  1449  1477  1495  1503  1545  1553  1554  1573  1593
  1602  1619  1652  1713  1745  1747  1758  1826  1868  1869  1870  1874
  1881  1935  1967  1995  2029  2106  2110  2131  2148  2176  2180  2226
  2308  2382  2419  2462  2501  2502  2530  2584  2591  2627  2702  2749
  2752  2805  2828  2854  2871  2906  2926  2932  2962  2973  3019  3078
  3113  3141  3194  3198  3208  3237  3283  3293  3307  3311  3348  3362
  3381  3384  3406  3408  3421  3426  3427  3493  3501  3510  3532  3570
  3582  3626  3643  3644  3653  3660  3702  3703  3757  3810  3833  3852
  3909  3911  3923  3978  3994  4006  4039  4057  4077  4095  4213  4291
  4307  4341  4399  4425  4442  4520  4525  4543  4553  4555  4574  4653
  4725  4739  4742  4821  4827  4836  4883  4946  4965  4967  4978  4989
  5015  5020  5030  5164  5165  5200  5212  5213  5271  5284  5302  5307
  5361  5365  5413  5447  5481  5484  5497  5520  5521  5544  5555  5560
  5634  5678  5776  5798  5803  5826  5843  5858  5868  5878  5892  5925
  5926  5959  5960  5986  5987  6027  6038  6049  6107  6137  6162  6237
  6298  6380  6429  6452  6454  6588  6647  6664  6690  6756  6759  6765
  6770  6771  6942  6971  6991  6993  6998  7013  7057  7109  7162  7285
  7300  7301  7307  7315  7336  7446  7449  7456  7471  7494  7498  7518
  7519  7547  7551  7568  7652  7713  7727  7736  7756  7772  7775  7778
  7873  7887  7949  7950  7962  7989  8015  8059  8066  8084  8093  8101
  8121  8134  8147  8283  8343  8358  8381  8399  8445  8468  8509  8519
  8585  8587  8637  8670  8768  8840  8841  8847  8917  8951  8985  8999
  9031  9032  9058  9071  9122  9135  9170  9185  9248  9276  9296  9514
  9522  9554  9556  9605  9611  9747  9762  9806  9843  9844  9855  9878
  9901  9974 10028]"
